station,date,n_total,n_retained,rmsp_median,rmsp_p95,frac_retained
gz01,2011-01-11,5760,5760,0.0019,0.0036,1.0
gz01,2011-01-12,5760,5760,0.0019,0.0035,1.0
gz01,2011-01-13,5760,5760,0.002,0.0036,1.0
gz01,2011-01-14,5760,5760,0.002,0.0036,1.0
gz01,2011-01-15,5760,5760,0.0019,0.0036,1.0
gz01,2011-01-16,5760,5760,0.002,0.0036,1.0
gz01,2011-01-17,5760,5760,0.0019,0.0036,1.0
gz01,2011-01-18,5760,5760,0.0019,0.0035,1.0
gz01,2011-01-19,5760,5760,0.0019,0.0035,1.0
gz01,2011-01-20,5760,5760,0.0019,0.0034,1.0
gz01,2011-01-21,5760,5760,0.0019,0.0035,1.0
gz01,2011-01-22,5760,5760,0.002,0.0039,1.0
gz01,2011-01-23,5760,5760,0.0019,0.0034,1.0
gz01,2011-01-24,5760,5760,0.0019,0.0035,1.0
gz01,2011-01-25,5760,5760,0.0019,0.0036,1.0
gz01,2011-01-26,5760,5760,0.0019,0.0035,1.0
gz01,2011-01-27,5760,5760,0.0019,0.0034,1.0
gz01,2011-01-28,5760,5760,0.0019,0.0037,1.0
gz01,2011-01-29,5760,5760,0.002,0.0042,1.0
gz01,2011-01-30,5760,5760,0.0019,0.0035,1.0
gz01,2011-01-31,5760,5760,0.0019,0.0035,1.0
gz01,2011-02-01,5760,5760,0.0019,0.0035,1.0
gz01,2011-02-02,5760,5760,0.002,0.0035,1.0
gz01,2011-02-03,5760,5760,0.002,0.0036,1.0
gz01,2011-02-04,5760,5760,0.0021,0.0037,1.0
gz01,2011-02-05,5760,5760,0.0019,0.0035,1.0
gz01,2011-02-06,5760,5760,0.002,0.0036,1.0
gz01,2011-02-07,5760,5760,0.0018,0.0034,1.0
gz01,2011-02-08,5760,5760,0.0018,0.0035,1.0
gz01,2011-02-09,5760,5760,0.0018,0.0034,1.0
gz01,2011-02-10,5760,5760,0.0018,0.0034,1.0
gz01,2011-02-11,5760,5760,0.0019,0.0034,1.0
gz01,2011-02-12,5760,5760,0.0019,0.0035,1.0
gz01,2011-02-13,5760,5760,0.0018,0.0035,1.0
gz01,2011-02-14,5760,5760,0.0019,0.0034,1.0
gz01,2011-02-15,5760,5760,0.0019,0.0035,1.0
gz01,2011-02-16,5760,5760,0.0018,0.0034,1.0
gz01,2011-02-17,5760,5760,0.0018,0.0034,1.0
gz01,2011-02-18,5760,5760,0.0019,0.0035,1.0
gz01,2011-02-19,5760,5760,0.0019,0.0036,1.0
gz01,2011-02-20,5760,5760,0.002,0.0036,1.0
gz01,2011-02-21,5760,5760,0.0019,0.0034,1.0
gz01,2011-02-22,5760,5760,0.0019,0.0034,1.0
gz01,2011-02-23,5760,5760,0.0018,0.0035,1.0
gz01,2011-02-24,5760,5760,0.0019,0.0034,1.0
gz01,2011-02-25,5760,5760,0.0019,0.0035,1.0
gz01,2011-02-26,5760,5760,0.0019,0.0035,1.0
gz01,2011-02-27,5760,5760,0.0018,0.0033,1.0
gz01,2011-02-28,5760,5760,0.0018,0.0034,1.0
gz01,2011-03-01,5760,5760,0.002,0.0036,1.0
gz01,2011-03-02,5760,5760,0.0019,0.0036,1.0
gz01,2011-03-03,5760,5760,0.0019,0.0036,1.0
gz01,2011-03-04,5760,5760,0.0019,0.0036,1.0
gz01,2011-03-05,5760,5760,0.0019,0.0035,1.0
gz01,2011-03-06,5760,5760,0.0019,0.0034,1.0
gz01,2011-03-07,5760,5760,0.0019,0.0034,1.0
gz01,2011-03-08,5760,5760,0.0018,0.0034,1.0
gz01,2011-03-09,5760,5760,0.0018,0.0034,1.0
gz01,2011-03-10,5760,5760,0.002,0.0036,1.0
gz01,2011-03-11,5760,5760,0.0019,0.0036,1.0
gz01,2011-03-12,5760,5760,0.0019,0.0036,1.0
gz01,2011-03-13,5760,5760,0.0019,0.0036,1.0
gz01,2011-03-14,5760,5760,0.0019,0.0035,1.0
gz01,2011-03-15,5760,5760,0.0019,0.0036,1.0
gz01,2011-03-16,5760,5760,0.0019,0.0035,1.0
gz01,2011-03-17,5760,5760,0.0019,0.0035,1.0
gz01,2011-03-18,5760,5760,0.0019,0.0035,1.0
gz01,2011-03-19,5760,5760,0.0019,0.0036,1.0
gz01,2011-03-20,5760,5760,0.002,0.0037,1.0
gz01,2011-03-21,5760,5760,0.0019,0.003505000000000018,1.0
gz01,2011-03-22,5760,5760,0.002,0.0037,1.0
gz01,2011-03-23,5760,5760,0.002,0.0038,1.0
gz01,2011-03-24,5760,5760,0.002,0.0036,1.0
